Connecting to host 10.1.1.2, port 1212
[  5] local 10.0.0.7 port 54186 connected to 10.1.1.2 port 1212
[  5]  81.00-82.00  sec   121 MBytes  1.01 Gbits/sec    0   30.3 MBytes       
[  5]  82.00-83.00  sec   122 MBytes  1.02 Gbits/sec    0   30.3 MBytes       
[  5]  83.00-84.00  sec   114 MBytes   953 Mbits/sec    0   30.3 MBytes       
[  5]  84.00-85.00  sec   119 MBytes   995 Mbits/sec    0   30.3 MBytes       
[  5]  85.00-86.00  sec   118 MBytes   986 Mbits/sec    0   30.3 MBytes       
[  5]  86.00-87.00  sec   118 MBytes   993 Mbits/sec    0   30.3 MBytes       
[  5]  87.00-88.00  sec   118 MBytes   991 Mbits/sec    0   30.3 MBytes       
[  5]  88.00-89.00  sec   118 MBytes   991 Mbits/sec    0   30.3 MBytes       
[  5]  89.00-90.00  sec   111 MBytes   928 Mbits/sec    0   30.3 MBytes       
[  5]  90.00-91.00  sec   117 MBytes   984 Mbits/sec    0   30.3 MBytes       
[  5]  91.00-92.00  sec   118 MBytes   987 Mbits/sec    0   30.3 MBytes       
[  5]  92.00-93.00  sec   122 MBytes  1.02 Gbits/sec    0   30.3 MBytes       
[  5]  93.00-94.00  sec   121 MBytes  1.02 Gbits/sec    0   30.3 MBytes       
[  5]  94.00-95.00  sec   121 MBytes  1.02 Gbits/sec    0   30.3 MBytes       
[  5]  95.00-96.00  sec   122 MBytes  1.02 Gbits/sec    0   30.3 MBytes       
[  5]  96.00-97.00  sec   121 MBytes  1.02 Gbits/sec    0   30.3 MBytes       
[  5]  97.00-98.00  sec   114 MBytes   954 Mbits/sec    0   30.3 MBytes       
[  5]  98.00-99.00  sec   121 MBytes  1.02 Gbits/sec    0   30.3 MBytes       
[  5]  99.00-100.00 sec   118 MBytes   991 Mbits/sec    0   30.3 MBytes       
[  5] 100.00-101.00 sec   122 MBytes  1.02 Gbits/sec    0   30.3 MBytes       
[  5] 101.00-102.00 sec   121 MBytes  1.01 Gbits/sec    0   30.3 MBytes       
[  5] 102.00-103.00 sec   122 MBytes  1.02 Gbits/sec    0   30.3 MBytes       
[  5] 103.00-104.00 sec   112 MBytes   944 Mbits/sec    0   30.3 MBytes       
[  5] 104.00-105.00 sec   118 MBytes   987 Mbits/sec    0   30.3 MBytes       
[  5] 105.00-106.00 sec   118 MBytes   986 Mbits/sec    0   30.3 MBytes       
[  5] 106.00-107.00 sec   119 MBytes  1.00 Gbits/sec    0   30.3 MBytes       
[  5] 107.00-108.00 sec   142 MBytes  1.19 Gbits/sec    0   30.3 MBytes       
[  5] 108.00-109.00 sec   118 MBytes   992 Mbits/sec    0   30.3 MBytes       
[  5] 109.00-110.00 sec   117 MBytes   985 Mbits/sec    0   30.3 MBytes       
[  5] 110.00-111.00 sec   134 MBytes  1.12 Gbits/sec    0   30.3 MBytes       
[  5] 111.00-112.00 sec   156 MBytes  1.31 Gbits/sec    0   30.3 MBytes       
[  5] 112.00-113.00 sec   196 MBytes  1.64 Gbits/sec    0   30.3 MBytes       
[  5] 113.00-114.00 sec   204 MBytes  1.71 Gbits/sec    0   30.3 MBytes       
[  5] 114.00-115.00 sec   190 MBytes  1.60 Gbits/sec    0   30.3 MBytes       
[  5] 115.00-116.00 sec   198 MBytes  1.66 Gbits/sec    0   30.3 MBytes       
[  5] 116.00-117.00 sec   207 MBytes  1.74 Gbits/sec    0   30.3 MBytes       
[  5] 117.00-118.00 sec   198 MBytes  1.66 Gbits/sec    0   30.3 MBytes       
[  5] 118.00-119.00 sec   185 MBytes  1.55 Gbits/sec    0   30.3 MBytes       
[  5] 119.00-120.00 sec   130 MBytes  1.09 Gbits/sec    0   30.3 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-120.00 sec  14.6 GBytes  1.05 Gbits/sec    0             sender
[  5]   0.00-120.06 sec  14.6 GBytes  1.05 Gbits/sec                  receiver

iperf Done.
